,Country,Index
582,"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)",582
236,AFGHANISTAN,236
101,ALBANIA,101
316,ALGERIA,316
102,ANDORRA,102
324,ANGOLA,324
529,ANGUILLA,529
518,ANTIGUA-BARBUDA,518
687,ARGENTINA ,687
151,ARMENIA,151
532,ARUBA,532
438,AUSTRALIA,438
103,AUSTRIA,103
152,AZERBAIJAN,152
512,BAHAMAS,512
298,BAHRAIN,298
274,BANGLADESH,274
513,BARBADOS,513
104,BELGIUM,104
581,BELIZE,581
386,BENIN,386
509,BERMUDA,509
153,BELARUS,153
242,BHUTAN,242
688,BOLIVIA,688
717,"BONAIRE, ST EUSTATIUS, SABA",717
164,BOSNIA-HERZEGOVINA,164
336,BOTSWANA,336
689,BRAZIL,689
525,BRITISH VIRGIN ISLANDS,525
217,BRUNEI,217
105,BULGARIA,105
393,BURKINA FASO,393
243,BURMA,243
375,BURUNDI,375
310,CAMEROON,310
326,CAPE VERDE,326
526,CAYMAN ISLANDS,526
383,CENTRAL AFRICAN REPUBLIC,383
384,CHAD,384
690,CHILE,690
245,"CHINA, PRC",245
721,CURACAO,721
270,CHRISTMAS ISLAND,270
271,COCOS ISLANDS,271
691,COLOMBIA,691
317,COMOROS,317
385,CONGO,385
467,COOK ISLANDS,467
575,COSTA RICA,575
165,CROATIA,165
584,CUBA,584
218,CYPRUS,218
140,CZECH REPUBLIC,140
723,FAROE ISLANDS (PART OF DENMARK),723
108,DENMARK,108
322,DJIBOUTI,322
519,DOMINICA,519
585,DOMINICAN REPUBLIC,585
240,EAST TIMOR,240
692,ECUADOR,692
368,EGYPT,368
576,EL SALVADOR,576
399,EQUATORIAL GUINEA,399
372,ERITREA,372
109,ESTONIA,109
369,ETHIOPIA,369
604,FALKLAND ISLANDS,604
413,FIJI,413
110,FINLAND,110
111,FRANCE,111
601,FRENCH GUIANA,601
411,FRENCH POLYNESIA,411
387,GABON,387
338,GAMBIA,338
758,GAZA STRIP,758
154,GEORGIA,154
112,GERMANY,112
339,GHANA,339
143,GIBRALTAR,143
113,GREECE,113
520,GRENADA,520
507,GUADELOUPE,507
577,GUATEMALA,577
382,GUINEA,382
327,GUINEA-BISSAU,327
603,GUYANA,603
586,HAITI,586
726,HEARD AND MCDONALD IS.,726
149,HOLY SEE/VATICAN,149
528,HONDURAS,528
206,HONG KONG,206
114,HUNGARY,114
115,ICELAND,115
213,INDIA,213
759,INDIAN OCEAN AREAS (FRENCH),759
729,INDIAN OCEAN TERRITORY,729
204,INDONESIA,204
249,IRAN,249
250,IRAQ,250
116,IRELAND,116
251,ISRAEL,251
117,ITALY,117
388,IVORY COAST,388
514,JAMAICA,514
209,JAPAN,209
253,JORDAN,253
201,KAMPUCHEA,201
155,KAZAKHSTAN,155
340,KENYA,340
414,KIRIBATI,414
732,KOSOVO,732
272,KUWAIT,272
156,KYRGYZSTAN,156
203,LAOS,203
118,LATVIA,118
255,LEBANON,255
335,LESOTHO,335
370,LIBERIA,370
381,LIBYA,381
119,LIECHTENSTEIN,119
120,LITHUANIA,120
121,LUXEMBOURG,121
214,MACAU,214
167,MACEDONIA,167
320,MADAGASCAR,320
345,MALAWI,345
273,MALAYSIA,273
220,MALDIVES,220
392,MALI,392
145,MALTA,145
472,MARSHALL ISLANDS,472
511,MARTINIQUE,511
389,MAURITANIA,389
342,MAURITIUS,342
760,MAYOTTE (AFRICA - FRENCH),760
473,"MICRONESIA, FED. STATES OF",473
157,MOLDOVA,157
122,MONACO,122
299,MONGOLIA,299
735,MONTENEGRO,735
521,MONTSERRAT,521
332,MOROCCO,332
329,MOZAMBIQUE,329
371,NAMIBIA,371
440,NAURU,440
257,NEPAL,257
123,NETHERLANDS,123
508,NETHERLANDS ANTILLES,508
409,NEW CALEDONIA,409
464,NEW ZEALAND,464
579,NICARAGUA,579
390,NIGER,390
343,NIGERIA,343
470,NIUE,470
275,NORTH KOREA,275
124,NORWAY,124
256,OMAN,256
258,PAKISTAN,258
474,PALAU,474
743,PALESTINE,743
504,PANAMA,504
441,PAPUA NEW GUINEA,441
693,PARAGUAY,693
694,PERU,694
260,PHILIPPINES,260
416,PITCAIRN ISLANDS,416
107,POLAND,107
126,PORTUGAL,126
297,QATAR,297
748,REPUBLIC OF SOUTH SUDAN,748
321,REUNION,321
127,ROMANIA,127
158,RUSSIA,158
376,RWANDA,376
128,SAN MARINO,128
330,SAO TOME AND PRINCIPE,330
261,SAUDI ARABIA,261
391,SENEGAL,391
142,SERBIA AND MONTENEGRO,142
745,SERBIA,745
347,SEYCHELLES,347
348,SIERRA LEONE,348
207,SINGAPORE,207
141,SLOVAKIA,141
166,SLOVENIA,166
412,SOLOMON ISLANDS,412
397,SOMALIA,397
373,SOUTH AFRICA,373
276,SOUTH KOREA,276
129,SPAIN,129
244,SRI LANKA,244
346,ST. HELENA,346
522,ST. KITTS-NEVIS,522
523,ST. LUCIA,523
502,ST. PIERRE AND MIQUELON,502
524,ST. VINCENT-GRENADINES,524
716,SAINT BARTHELEMY,716
736,SAINT MARTIN,736
749,SAINT MAARTEN,749
350,SUDAN,350
602,SURINAME,602
351,SWAZILAND,351
130,SWEDEN,130
131,SWITZERLAND,131
262,SYRIA,262
268,TAIWAN,268
159,TAJIKISTAN,159
353,TANZANIA,353
263,THAILAND,263
304,TOGO,304
417,TONGA,417
516,TRINIDAD AND TOBAGO,516
323,TUNISIA,323
264,TURKEY,264
161,TURKMENISTAN,161
527,TURKS AND CAICOS ISLANDS,527
420,TUVALU,420
352,UGANDA,352
162,UKRAINE,162
296,UNITED ARAB EMIRATES,296
135,UNITED KINGDOM,135
695,URUGUAY,695
163,UZBEKISTAN,163
410,VANUATU,410
696,VENEZUELA,696
266,VIETNAM,266
469,WALLIS AND FUTUNA ISLANDS,469
757,WEST INDIES (FRENCH),757
333,WESTERN SAHARA,333
465,WESTERN SAMOA,465
216,YEMEN,216
139,YUGOSLAVIA,139
301,ZAIRE,301
344,ZAMBIA,344
315,ZIMBABWE,315
